name,body_part,target,equipment,gif_url,image
"3/4 sit-up","waist","abs","body weight","videos/0001-2gPfomN.gif","images/0001-2gPfomN.jpg"
"45° side bend","waist","abs","body weight","videos/0002-Hy9D21L.gif","images/0002-Hy9D21L.jpg"
"air bike","waist","abs","body weight","videos/0003-1ZFqTDN.gif","images/0003-1ZFqTDN.jpg"
"all fours squad stretch","upper legs","quads","body weight","videos/1512-qBcKorM.gif","images/1512-qBcKorM.jpg"
"alternate heel touchers","waist","abs","body weight","videos/0006-qaZVsGk.gif","images/0006-qaZVsGk.jpg"
"alternate lateral pulldown","back","lats","cable","videos/0007-4IKbhHV.gif","images/0007-4IKbhHV.jpg"
"ankle circles","lower legs","calves","body weight","videos/1368-uL9CsKm.gif","images/1368-uL9CsKm.jpg"
"archer pull up","back","lats","body weight","videos/3293-72BC5Za.gif","images/3293-72BC5Za.jpg"
"archer push up","chest","pectorals","body weight","videos/3294-A9qxk2F.gif","images/3294-A9qxk2F.jpg"
"arm slingers hanging bent knee legs","waist","abs","body weight","videos/2355-uWpxD4v.gif","images/2355-uWpxD4v.jpg"
"arm slingers hanging straight legs","waist","abs","body weight","videos/2333-PXTIwgu.gif","images/2333-PXTIwgu.jpg"
"arms apart circular toe touch (male)","upper legs","glutes","body weight","videos/3214-RtyAsy1.gif","images/3214-RtyAsy1.jpg"
"arms overhead full sit-up (male)","waist","abs","body weight","videos/3204-NAkmgdx.gif","images/3204-NAkmgdx.jpg"
"assisted chest dip (kneeling)","chest","pectorals","leverage machine","videos/0009-PAgTVaK.gif","images/0009-PAgTVaK.jpg"
"assisted hanging knee raise","waist","abs","assisted","videos/0011-03lzqwk.gif","images/0011-03lzqwk.jpg"
"assisted hanging knee raise with throw down","waist","abs","assisted","videos/0010-8K0w2yA.gif","images/0010-8K0w2yA.jpg"
"assisted lying calves stretch","lower legs","calves","assisted","videos/1708-GxDwDX0.gif","images/1708-GxDwDX0.jpg"
"assisted lying glutes stretch","upper legs","glutes","assisted","videos/1709-yn0LjwL.gif","images/1709-yn0LjwL.jpg"
"assisted lying gluteus and piriformis stretch","upper legs","glutes","assisted","videos/1710-RQNVT10.gif","images/1710-RQNVT10.jpg"
"assisted lying leg raise with lateral throw down","waist","abs","assisted","videos/0012-UGhRD1A.gif","images/0012-UGhRD1A.jpg"
"assisted lying leg raise with throw down","waist","abs","assisted","videos/0013-VX5YKR5.gif","images/0013-VX5YKR5.jpg"
"assisted motion russian twist","waist","abs","medicine ball","videos/0014-r7cT9YD.gif","images/0014-r7cT9YD.jpg"
"assisted parallel close grip pull-up","back","lats","leverage machine","videos/0015-vrhHa6D.gif","images/0015-vrhHa6D.jpg"
"assisted prone hamstring","upper legs","hamstrings","assisted","videos/0016-VedGSby.gif","images/0016-VedGSby.jpg"
"assisted prone lying quads stretch","upper legs","quads","assisted","videos/1713-YUYAMEj.gif","images/1713-YUYAMEj.jpg"
"assisted prone rectus femoris stretch","waist","abs","assisted","videos/1714-2Ryn564.gif","images/1714-2Ryn564.jpg"
"assisted pull-up","back","lats","leverage machine","videos/0017-kiJ4Z2K.gif","images/0017-kiJ4Z2K.jpg"
"assisted seated pectoralis major stretch with stability ball","chest","pectorals","assisted","videos/1716-RoV1Rfa.gif","images/1716-RoV1Rfa.jpg"
"assisted side lying adductor stretch","upper legs","adductors","assisted","videos/1712-hC6oYY5.gif","images/1712-hC6oYY5.jpg"
"assisted sit-up","waist","abs","assisted","videos/1758-aumB2IV.gif","images/1758-aumB2IV.jpg"
"assisted standing chin-up","back","lats","leverage machine","videos/1431-7OeHptV.gif","images/1431-7OeHptV.jpg"
"assisted standing pull-up","back","lats","leverage machine","videos/1432-f4xtKBj.gif","images/1432-f4xtKBj.jpg"
"assisted standing triceps extension (with towel)","upper arms","triceps","assisted","videos/0018-7HcfMBP.gif","images/0018-7HcfMBP.jpg"
"assisted triceps dip (kneeling)","upper arms","triceps","leverage machine","videos/0019-J60bN17.gif","images/0019-J60bN17.jpg"
"assisted wide-grip chest dip (kneeling)","chest","pectorals","leverage machine","videos/2364-PnZJIrk.gif","images/2364-PnZJIrk.jpg"
"astride jumps (male)","cardio","cardiovascular system","body weight","videos/3220-f9lVSSI.gif","images/3220-f9lVSSI.jpg"
"back and forth step","cardio","cardiovascular system","body weight","videos/3672-fNGumX0.gif","images/3672-fNGumX0.jpg"
"back extension on exercise ball","back","spine","stability ball","videos/1314-qLpO4vV.gif","images/1314-qLpO4vV.jpg"
"back lever","back","upper back","body weight","videos/3297-GaSzzuh.gif","images/3297-GaSzzuh.jpg"
"back pec stretch","back","lats","body weight","videos/1405-chfnQnM.gif","images/1405-chfnQnM.jpg"
"backward jump","upper legs","quads","body weight","videos/1473-SaDOwk7.gif","images/1473-SaDOwk7.jpg"
"balance board","upper legs","quads","body weight","videos/0020-xAySMB0.gif","images/0020-xAySMB0.jpg"
"band alternating biceps curl","upper arms","biceps","band","videos/0968-3omWx6P.gif","images/0968-3omWx6P.jpg"
"band alternating v-up","waist","abs","band","videos/0969-ztAa1RK.gif","images/0969-ztAa1RK.jpg"
"band assisted pull-up","back","lats","band","videos/0970-r1XNRYB.gif","images/0970-r1XNRYB.jpg"
"band assisted wheel rollerout","waist","abs","band","videos/0971-zhF9lW4.gif","images/0971-zhF9lW4.jpg"
"band bench press","chest","pectorals","band","videos/1254-khlHMqs.gif","images/1254-khlHMqs.jpg"
"band bent-over hip extension","upper legs","glutes","band","videos/0980-wSScovH.gif","images/0980-wSScovH.jpg"
"band bicycle crunch","waist","abs","band","videos/0972-tZkGYZ9.gif","images/0972-tZkGYZ9.jpg"
"band close-grip pulldown","back","lats","band","videos/0974-DptumMx.gif","images/0974-DptumMx.jpg"
"band close-grip push-up","upper arms","triceps","band","videos/0975-ufaxB52.gif","images/0975-ufaxB52.jpg"
"band concentration curl","upper arms","biceps","band","videos/0976-kmVVAfu.gif","images/0976-kmVVAfu.jpg"
"band fixed back close grip pulldown","back","lats","band","videos/3117-4LoWllp.gif","images/3117-4LoWllp.jpg"
"band fixed back underhand pulldown","back","lats","band","videos/3116-ZH68exZ.gif","images/3116-ZH68exZ.jpg"
"band front lateral raise","shoulders","delts","band","videos/0977-sTg7iys.gif","images/0977-sTg7iys.jpg"
"band front raise","shoulders","delts","band","videos/0978-TFA88iB.gif","images/0978-TFA88iB.jpg"
"band hip lift","upper legs","glutes","band","videos/1408-E4R8Hz1.gif","images/1408-E4R8Hz1.jpg"
"band horizontal pallof press","waist","abs","band","videos/0979-9pa4H5m.gif","images/0979-9pa4H5m.jpg"
"band jack knife sit-up","waist","abs","band","videos/0981-KCBKjma.gif","images/0981-KCBKjma.jpg"
"band kneeling one arm pulldown","back","lats","band","videos/0983-pmnrOp0.gif","images/0983-pmnrOp0.jpg"
"band kneeling twisting crunch","waist","abs","band","videos/0985-225x2Vd.gif","images/0985-225x2Vd.jpg"
"band lying hip internal rotation","upper legs","glutes","band","videos/0984-vIICElP.gif","images/0984-vIICElP.jpg"
"band lying straight leg raise","waist","abs","band","videos/1002-bbLR7fB.gif","images/1002-bbLR7fB.jpg"
"band one arm overhead biceps curl","upper arms","biceps","band","videos/0986-UNAB8ak.gif","images/0986-UNAB8ak.jpg"
"band one arm single leg split squat","upper legs","quads","band","videos/0987-arsYEd3.gif","images/0987-arsYEd3.jpg"
"band one arm standing low row","back","upper back","band","videos/0988-km0sQC0.gif","images/0988-km0sQC0.jpg"
"band one arm twisting chest press","chest","pectorals","band","videos/0989-c16nYGA.gif","images/0989-c16nYGA.jpg"
"band one arm twisting seated row","back","upper back","band","videos/0990-DKBwJrL.gif","images/0990-DKBwJrL.jpg"
"band pull through","upper legs","glutes","band","videos/0991-VtTbiP3.gif","images/0991-VtTbiP3.jpg"
"band push sit-up","waist","abs","band","videos/0992-zFzbBfL.gif","images/0992-zFzbBfL.jpg"
"band reverse fly","shoulders","delts","band","videos/0993-sTfvVsG.gif","images/0993-sTfvVsG.jpg"
"band reverse wrist curl","lower arms","forearms","band","videos/0994-Ezpnw9d.gif","images/0994-Ezpnw9d.jpg"
"band seated hip internal rotation","upper legs","glutes","band","videos/0996-9gbyYKk.gif","images/0996-9gbyYKk.jpg"
"band seated twist","waist","abs","band","videos/1011-S1JXDAG.gif","images/1011-S1JXDAG.jpg"
"band shoulder press","shoulders","delts","band","videos/0997-peAeMR3.gif","images/0997-peAeMR3.jpg"
"band shrug","back","traps","band","videos/1018-trmte8s.gif","images/1018-trmte8s.jpg"
"band side triceps extension","upper arms","triceps","band","videos/0998-obe5LMq.gif","images/0998-obe5LMq.jpg"
"band single leg calf raise","lower legs","calves","band","videos/0999-9JprnPh.gif","images/0999-9JprnPh.jpg"
"band single leg reverse calf raise","lower legs","calves","band","videos/1000-QsSQWbf.gif","images/1000-QsSQWbf.jpg"
"band single leg split squat","upper legs","quads","band","videos/1001-y8bYM8w.gif","images/1001-y8bYM8w.jpg"
"band squat","upper legs","glutes","band","videos/1004-TUZLh71.gif","images/1004-TUZLh71.jpg"
"band squat row","upper legs","glutes","band","videos/1003-w1NOByi.gif","images/1003-w1NOByi.jpg"
"band standing crunch","waist","abs","band","videos/1005-Kzg30R7.gif","images/1005-Kzg30R7.jpg"
"band standing rear delt row","shoulders","delts","band","videos/1022-tc5dYrf.gif","images/1022-tc5dYrf.jpg"
"band standing twisting crunch","waist","abs","band","videos/1007-euq4pwp.gif","images/1007-euq4pwp.jpg"
"band step-up","upper legs","glutes","band","videos/1008-d5bTEPV.gif","images/1008-d5bTEPV.jpg"
"band stiff leg deadlift","upper legs","glutes","band","videos/1009-kuMiR2T.gif","images/1009-kuMiR2T.jpg"
"band straight back stiff leg deadlift","upper legs","glutes","band","videos/1023-lHeUULr.gif","images/1023-lHeUULr.jpg"
"band straight leg deadlift","back","spine","band","videos/1010-KUaoUV8.gif","images/1010-KUaoUV8.jpg"
"band twisting overhead press","shoulders","delts","band","videos/1012-u4bAmKp.gif","images/1012-u4bAmKp.jpg"
"band two legs calf raise - (band under both legs) v. 2","lower legs","calves","band","videos/1369-jl6uxZV.gif","images/1369-jl6uxZV.jpg"
"band underhand pulldown","back","lats","band","videos/1013-k6tUeqS.gif","images/1013-k6tUeqS.jpg"
"band v-up","waist","abs","band","videos/1014-H6ETwO9.gif","images/1014-H6ETwO9.jpg"
"band vertical pallof press","waist","abs","band","videos/1015-G7PXMlT.gif","images/1015-G7PXMlT.jpg"
"band wrist curl","lower arms","forearms","band","videos/1016-vUTfFHw.gif","images/1016-vUTfFHw.jpg"
"band y-raise","shoulders","delts","band","videos/1017-aHDy5O5.gif","images/1017-aHDy5O5.jpg"
"barbell alternate biceps curl","upper arms","biceps","barbell","videos/0023-Yza7XrQ.gif","images/0023-Yza7XrQ.jpg"
"barbell bench front squat","upper legs","quads","barbell","videos/0024-Y7YcmIJ.gif","images/0024-Y7YcmIJ.jpg"
"barbell bench press","chest","pectorals","barbell","videos/0025-EIeI8Vf.gif","images/0025-EIeI8Vf.jpg"
"barbell bench squat","upper legs","quads","barbell","videos/0026-W9pFVv1.gif","images/0026-W9pFVv1.jpg"
"barbell bent arm pullover","back","lats","barbell","videos/1316-cA9FuWG.gif","images/1316-cA9FuWG.jpg"
"barbell bent over row","back","upper back","barbell","videos/0027-eZyBC3j.gif","images/0027-eZyBC3j.jpg"
"barbell biceps curl (with arm blaster)","upper arms","biceps","barbell","videos/2407-aee2Fcj.gif","images/2407-aee2Fcj.jpg"
"barbell clean and press","upper legs","quads","barbell","videos/0028-SGY8Zui.gif","images/0028-SGY8Zui.jpg"
"barbell clean-grip front squat","upper legs","glutes","barbell","videos/0029-qi996YS.gif","images/0029-qi996YS.jpg"
"barbell close-grip bench press","upper arms","triceps","barbell","videos/0030-J6Dx1Mu.gif","images/0030-J6Dx1Mu.jpg"
"barbell curl","upper arms","biceps","barbell","videos/0031-25GPyDY.gif","images/0031-25GPyDY.jpg"
"barbell deadlift","upper legs","glutes","barbell","videos/0032-ila4NZS.gif","images/0032-ila4NZS.jpg"
"barbell decline bench press","chest","pectorals","barbell","videos/0033-GrO65fd.gif","images/0033-GrO65fd.jpg"
"barbell decline bent arm pullover","back","lats","barbell","videos/0034-hMEptv0.gif","images/0034-hMEptv0.jpg"
"barbell decline close grip to skull press","upper arms","triceps","barbell","videos/0035-LMGXZn8.gif","images/0035-LMGXZn8.jpg"
"barbell decline pullover","chest","pectorals","barbell","videos/1255-9sgNE2O.gif","images/1255-9sgNE2O.jpg"
"barbell decline wide-grip press","chest","pectorals","barbell","videos/0036-hl8DUh8.gif","images/0036-hl8DUh8.jpg"
"barbell decline wide-grip pullover","back","lats","barbell","videos/0037-Hj4FOCd.gif","images/0037-Hj4FOCd.jpg"
"barbell drag curl","upper arms","biceps","barbell","videos/0038-IENzBdA.gif","images/0038-IENzBdA.jpg"
"barbell floor calf raise","lower legs","calves","barbell","videos/1370-2IHEa2T.gif","images/1370-2IHEa2T.jpg"
"barbell front chest squat","upper legs","glutes","barbell","videos/0039-IeTIEqg.gif","images/0039-IeTIEqg.jpg"
"barbell front raise","shoulders","delts","barbell","videos/0041-b2Uoz54.gif","images/0041-b2Uoz54.jpg"
"barbell front raise and pullover","chest","pectorals","barbell","videos/0040-33AzZeV.gif","images/0040-33AzZeV.jpg"
"barbell front squat","upper legs","glutes","barbell","videos/0042-zG0zs85.gif","images/0042-zG0zs85.jpg"
"barbell full squat","upper legs","glutes","barbell","videos/0043-qXTaZnJ.gif","images/0043-qXTaZnJ.jpg"
"barbell full squat (back pov)","upper legs","glutes","barbell","videos/1461-DhMl549.gif","images/1461-DhMl549.jpg"
"barbell full squat (side pov)","upper legs","glutes","barbell","videos/1462-iYzB0Cz.gif","images/1462-iYzB0Cz.jpg"
"barbell full zercher squat","upper legs","glutes","barbell","videos/1545-vR1vold.gif","images/1545-vR1vold.jpg"
"barbell glute bridge","upper legs","glutes","barbell","videos/1409-qKBpF7I.gif","images/1409-qKBpF7I.jpg"
"barbell glute bridge two legs on bench (male)","upper legs","glutes","barbell","videos/3562-qg2PGl6.gif","images/3562-qg2PGl6.jpg"
"barbell good morning","upper legs","hamstrings","barbell","videos/0044-XlZ4lAC.gif","images/0044-XlZ4lAC.jpg"
"barbell guillotine bench press","chest","pectorals","barbell","videos/0045-GXoaSgn.gif","images/0045-GXoaSgn.jpg"
"barbell hack squat","upper legs","glutes","barbell","videos/0046-5VCj6iH.gif","images/0046-5VCj6iH.jpg"
"barbell high bar squat","upper legs","glutes","barbell","videos/1436-Gnfo4FM.gif","images/1436-Gnfo4FM.jpg"
"barbell incline bench press","chest","pectorals","barbell","videos/0047-3TZduzM.gif","images/0047-3TZduzM.jpg"
"barbell incline close grip bench press","upper arms","triceps","barbell","videos/1719-gx7s7uF.gif","images/1719-gx7s7uF.jpg"
"barbell incline reverse-grip press","upper arms","triceps","barbell","videos/0048-641mIfk.gif","images/0048-641mIfk.jpg"
"barbell incline row","back","upper back","barbell","videos/0049-dmgMp3n.gif","images/0049-dmgMp3n.jpg"
"barbell incline shoulder raise","chest","serratus anterior","barbell","videos/0050-xi0yckC.gif","images/0050-xi0yckC.jpg"
"barbell jefferson squat","upper legs","glutes","barbell","videos/0051-pkSoCW9.gif","images/0051-pkSoCW9.jpg"
"barbell jm bench press","upper arms","triceps","barbell","videos/0052-ZsiqXYa.gif","images/0052-ZsiqXYa.jpg"
"barbell jump squat","upper legs","glutes","barbell","videos/0053-1gFNTZV.gif","images/0053-1gFNTZV.jpg"
"barbell lateral lunge","upper legs","glutes","barbell","videos/1410-py1HSzx.gif","images/1410-py1HSzx.jpg"
"barbell low bar squat","upper legs","glutes","barbell","videos/1435-bTpEUcm.gif","images/1435-bTpEUcm.jpg"
"barbell lunge","upper legs","glutes","barbell","videos/0054-t8iSghb.gif","images/0054-t8iSghb.jpg"
"barbell lying back of the head tricep extension","upper arms","triceps","barbell","videos/1720-yg8Totb.gif","images/1720-yg8Totb.jpg"
"barbell lying close-grip press","upper arms","triceps","barbell","videos/0055-EcaV7aL.gif","images/0055-EcaV7aL.jpg"
"barbell lying close-grip triceps extension","upper arms","triceps","barbell","videos/0056-HJ63mSO.gif","images/0056-HJ63mSO.jpg"
"barbell lying extension","upper arms","triceps","barbell","videos/0057-EMpUwRI.gif","images/0057-EMpUwRI.jpg"
"barbell lying lifting (on hip)","upper legs","glutes","barbell","videos/0058-SNFfUff.gif","images/0058-SNFfUff.jpg"
"barbell lying preacher curl","upper arms","biceps","barbell","videos/0059-SYJ4Bkt.gif","images/0059-SYJ4Bkt.jpg"
"barbell lying triceps extension","upper arms","triceps","barbell","videos/0061-iZop9xO.gif","images/0061-iZop9xO.jpg"
"barbell lying triceps extension skull crusher","upper arms","triceps","barbell","videos/0060-h8LFzo9.gif","images/0060-h8LFzo9.jpg"
"barbell narrow stance squat","upper legs","glutes","barbell","videos/0063-elhhVgj.gif","images/0063-elhhVgj.jpg"
"barbell one arm bent over row","back","upper back","barbell","videos/0064-Jsgsc27.gif","images/0064-Jsgsc27.jpg"
"barbell one arm floor press","upper arms","triceps","barbell","videos/0065-vtusOWT.gif","images/0065-vtusOWT.jpg"
"barbell one arm side deadlift","upper legs","glutes","barbell","videos/0066-2DxtqHL.gif","images/0066-2DxtqHL.jpg"
"barbell one arm snatch","shoulders","delts","barbell","videos/0067-xHKN2s8.gif","images/0067-xHKN2s8.jpg"
"barbell one leg squat","upper legs","quads","barbell","videos/0068-uKyN64F.gif","images/0068-uKyN64F.jpg"
"barbell overhead squat","upper legs","quads","barbell","videos/0069-gfk9kD4.gif","images/0069-gfk9kD4.jpg"
